China Timeline 1830s-1989
A general purpose list of events related to modern Chinese history from late Qing to Tian'anmen. Supplemental timelines do not duplicated events listed here. Version 1.1. Last Updated: 2024.7.27
100%
(First) Opium War	1839-1842
Sino-British Treaty of Nanjing; beginning of unequal treaties	1843
Taiping Rebellion	1850-1864
Nian Rebellion	1851-1868
The (First) Sino-Japanese War	1894-1895
Taiwan Becomes a Colony of Japan	1895, Apr
Boxer Rebellion, occupation of north China by foreign forces	1900
Sun Yat-sen founds Revolutionary Alliance (Tongmenghui)	1905
Korea is Annexed by Japan	1910, Aug
The Xinhai Revolution, fall of the Qing	1911, Oct
Severely fragmented power in China (Warlord rule)	1911-1928
Japan Issues the Twenty-One Demands	1915, Jan
The May Fourth Movement	1919
Founding of the Chinese Communist Party, First Congress in Shanghai	1921, Jul
First United Front Between the Nationalist Party (GMD) and the Communist Party (CCP)	1924-7
The Death of Sun Yat-sen, rise of Chiang Kai-shek	1925, Mar
May 30th Movement	1925
The Northern Expedition	1926-7
Mao writes his Hunan Report on the peasant movement	1927
The White Terror, anti-Communist purge begins in Shanghai after city is taken by GMD	1927, Apr
The "Nanjing Decade"	1927-1937
Chiang Kai-shek "encirclement" campaigns against Communists in Jiangxi	1930-4
The Japanese Invasion of Manchuria	1931, Sep
Jiangxi Soviet formally established with capital at Ruijin, Mao Zedong appointed chairman	1931, Nov
CCP The Long March	1934-1935
The Xi'an Incident	1936, Dec
The Marco Polo Bridge Incident	1937, Jul
The (Second) Sino-Japanese War and Second United Front	1937-1945
Fall of Nanjing to Japan and the Nanjing Massacre	1937, Dec
Chiang Kai-shek blows up the Yellow River dikes leading to mass death through flooding and starvation	1938, Jun
Yan'an Rectification Movement	1942-5
Japanese surrender and Japanese emperor's radio announcement	1945, Aug 15
Civil War between the CCP and GMD	1945-1949
2.28 Incident and GMD repression in Taiwan	1947, Feb
Communist Land Reform Campaign	1947-1952
The Proclamation of the People's Republic	1949, Oct
New Marriage Law pronounced	1950, Apr
CCP invasion of Tibet	1950, Oct
Campaign to Suppress Counterrevolutionaries (Zhenfan)	1950-1953
China participates in the Korean War	1950-1953
Three-anti and Five-anti campaigns in the cities	1951-2
Hundred Flowers Movement	1956-1957
Anti-Rightist Campaign	1957-1959
Great Leap Forward Pronounced	1958
Launch of the Four Pests Campaign	1958
Tibetan revolt, Dalai Lama flees Tibet	1959
The Great Leap Famine	1959-1962
Lushan Conference; Peng Dehuai ousted, replaced by Lin Biao	1959
Sino-Soviet split widens	1960
Rectification and Socialist Education campaign	1962, Aug
Learn from Comrade Lei Feng movement	1963
First nuclear weapon tested in China	1964
The Cultural Revolution Period	1966-1976
Down to the Countryside movement	1968-1978
Revolutionary committees are most active	1967-1968
Cultural Revolution proclaimed success, Liu Shaoqi dismissed	1969, Apr
Soviet and Chinese troops clash	1969
UN recognises the PRC as the government of China	1971, Oct
Lin Biao incident and death	1971, Sep
Nixon visit to China and signs Shanghai Communiqué	1972, Feb
Criticize Lin and Confucius movement	1973-1975
Chiang Kai-shek dies in Taiwan	1975, Jul
Death of Mao, Zhou Enlai and Zhu De die earlier in the year	1976, Sep
The "Gang of Four" are arrested	1976, Oct
5th National People's Congress adopts Four Modernizations plan	1978, Feb
Posters appear on democracy wall	1978
Wei Jingsheng's "Fifth Modernization" poster	1978, Dec
Crack down on democracy movement, Wei Jingsheng among those arrested	1979
One-Child policy formally implemented, lasts until 2015	1980, Sep
USA recognises the PRC as the government of China, in place of Taiwan	1979, Jan
Gang of Four condemned	1981, Jan
Mao blamed for leftist excesses but 70/30 correct and incorrect ratio	1981
CCP Central Committee calls for rural decollectivisation	1983, Jan
Sino-British joint declaration signed on return of Hong Kong	1984
Corruption and inflation issues become serious; economic adjustment policy	1988
Hu Yaobang dies, students in Tian'anmen square	1989, Apr
Hunger strike in Tiananmen square, large occupation of square	1989, May
The Tian'anmen Square Massacre, "6.4"	1989, Jun 4
